Gophers,G. expansus,G. perotensis,G. ewingi,G. texanus,G. nadleri,G. panamensis,G. cherriei,G. costaricensis,G. chapini,G. setzeri,G. trichopi
C. castanops,1,0,0,0,0,0,0,0,0,0,0
C. merriami,0,1,0,0,0,0,0,0,0,0,0
G. breviceps,0,0,2,0,0,0,0,0,0,0,0
G. personatus,0,0,0,2,0,0,0,0,0,0,0
P. bulleri,0,0,0,0,3,0,0,0,0,0,0
O. cavator,0,0,0,0,0,4,0,0,0,0,0
O. cherriei,0,0,0,0,0,0,4,0,0,0,0
O. heterodus,0,0,0,0,0,0,0,4,0,0,0
O. hispidus,0,0,0,0,0,0,0,0,4,0,0
O. underwoodi,0,0,0,0,0,0,0,0,0,4,0
Z. trichopus,0,0,0,0,0,0,0,0,0,0,5
